Index	FileName	SentenceHebrew	Transcription	Russian
1	s_43a3f467d43b.mp3	אֲנִי רוֹצֶה מַיִם קָרִים.	анӣ роцэ́ мáйим карӣ́м.	Я хочу холодную воду.
2	s_452c0ecb28cd.mp3	הוּא שׁוֹתֶה תֵּה בַּבֹּקֶר.	hу шотэ́ тэ ба-бóкер.	Он пьёт чай утром.
3	s_24be46eef63b.mp3	אֲנִי אוֹכֵל לֶחֶם וּגְבִינָה.	анӣ охéль лéхем у-гвинá.	Я ем хлеб и сыр.
4	s_ecebf5bfeb71.mp3	הוּא אָכַל בַּבַּיִת.	hу ахáль ба-бáйит.	Он ел дома.
5	s_91be08f55a95.mp3	דָּוִד הוֹלֵךְ לָאוּלְפָּן.	давӣ́д hолéх ла-ульпáн.	Давид идёт в ульпан.
6	s_8f08c6e2916e.mp3	אֲנִי קוֹרֵא סֵפֶר בָּעֶרֶב.	анӣ корé сéфер ба-э́рев.	Я читаю книгу вечером.
7	s_a8f7f47e399c.mp3	הוּא קָרָא אֶת הַחֲדָשׁוֹת.	hу карá эт hа-хадашóт.	Он прочитал новости.
8	s_e1ed38018338.mp3	הוּא עוֹבֵד בְּמִשְׂרָד.	hу овéд бэ-мисрáд.	Он работает в офисе.
9	s_2a9337de731b.mp3	אַתָּה יוֹדֵעַ אֶת הַתְּשׁוּבָה?	атá йодéа эт hа-тшувá?	Ты знаешь ответ?
10	s_0378a97bbdc2.mp3	אֲנִי רוֹאֶה אֶת הַיָּם.	анӣ роэ́ эт hа-ям.	Я вижу море.
11	s_96d96009a641.mp3	דָּוִד בָּא אֶתְמוֹל לָאוּלְפָּן.	давӣ́д ба этмóль ла-ульпáн.	Давид пришёл вчера в ульпан.
12	s_bc9b033910f6.mp3	מָה אַתָּה עוֹשֶׂה הַיּוֹם?	ма атá осэ́ hа-йом?	Что ты делаешь сегодня?
13	s_ae79c0e63003.mp3	אֲנִי שׁוֹמֵעַ מוּזִיקָה.	анӣ шомéа мӯ́зика.	Я слушаю музыку.
14	s_a83fc20adc95.mp3	הוּא פּוֹגֵשׁ אֶת הַחֲבֵר.	hу погéш эт hа-хавéр.	Он встречает друга.
15	s_2bc00328324f.mp3	הוּא פּוֹתֵחַ אֶת הַדֶּלֶת.	hу потéах эт hа-дéлет.	Он открывает дверь.
16	s_eac573c83a5f.mp3	הוּא סוֹגֵר אֶת הַחַלּוֹן.	hу согéр эт hа-халóн.	Он закрывает окно.
17	s_cb275df8b774.mp3	הוּא עוֹמֵד לְיַד הַתַּחֲנָה.	hу омéд лэ-яд hа-таханá.	Он стоит возле остановки.
18	s_70c378803429.mp3	אֲנִי לוֹקֵחַ תַּפּוּחַ וּמַיִם.	анӣ локéах тапӯ́ах у-мáйим.	Я беру яблоко и воду.
19	s_b33becaa17e0.mp3	הוּא אוֹמֵר שָׁלוֹם וְתוֹדָה.	hу омéр шалóм вэ-тодá.	Он говорит привет и спасибо.
20	s_ecd5d3ffc2ed.mp3	דָּוִד נוֹסֵעַ בָּאוֹטוֹבּוּס לָעֲבוֹדָה.	давӣ́д носéа ба-отóбус ла-аводá.	Давид едет на автобусе на работу.
21	s_c323e00f17a7.mp3	אֲנִי חוֹזֵר הַבַּיְתָה בָּעֶרֶב.	анӣ хозéр hабáйта ба-э́рев.	Я возвращаюсь домой вечером.
22	s_e6e61210a8a3.mp3	הוּא חָזַר מֵהָעֲבוֹדָה עָיֵף.	hу хазáр ме-hа-аводá айéф.	Он вернулся с работы уставшим.
23	s_273f59d95e65.mp3	אֲנִי עוֹזֵר לַחֲבֵר בָּאוּלְפָּן.	анӣ озéр ла-хавéр ба-ульпáн.	Я помогаю другу в ульпане.
24	s_6a9612aca3ca.mp3	אֲנִי זוֹכֵר אֶת כָּל הַמִּלִּים.	анӣ зохéр эт коль hа-милӣ́м.	Я помню все слова.
25	s_08a1a62770e2.mp3	הוּא שׁוֹכֵחַ אֶת הַמַּפְתֵּחוֹת שׁוּב.	hу шохéах эт hа-мафтехóт шув.	Он снова забывает ключи.
26	s_f2f74bfb6248.mp3	אֲנִי חוֹשֵׁב עַל הָעֲבוֹדָה.	анӣ хошéв аль hа-аводá.	Я думаю о работе.
27	s_b0d5f69360ac.mp3	דָּוִד מוֹצֵא אֶת הָרְחוֹב בְּקַלּוּת.	давӣ́д моцé эт hа-рехóв бе-калӯ́т.	Давид легко находит улицу.
28	s_52b13987ebf3.mp3	אֲנִי אוֹהֵב קָפֶה חָזָק בַּבֹּקֶר.	анӣ оhéв кáфэ хазáк ба-бóкер.	Я люблю крепкий кофе утром.
29	s_bcb263cc8c69.mp3	הוּא שָׂם סוּכָּר בַּתֵּה שֶׁלּוֹ.	hу сам сукáр ба-тэ шелó.	Он кладёт сахар в свой чай.
30	s_00aadc6c77fe.mp3	אֲנִי קָם מוּקְדָּם בַּבֹּקֶר תָּמִיד.	анӣ кам мукдáм ба-бóкер тамӣ́д.	Я всегда встаю рано утром.
31	s_50772a2c3586.mp3	הַיֶּלֶד יָשֵׁן עַכְשָׁיו בַּחֶדֶר.	hа-йéлед яшéн ахшáв ба-хéдер.	Ребёнок сейчас спит в комнате.
32	s_6f2df88b1c74.mp3	דָּוִד מָכַר אֶת הַמְּכוֹנִית שֶׁלּוֹ.	давӣ́д махáр эт hа-мехонӣ́т шелó.	Давид продал свою машину.
33	s_7c50bda65931.mp3	אֲנִי בּוֹחֵר יְרָקוֹת טְרִיִּים בַּחֲנוּת.	анӣ бохéр йеракот терийӣ́м ба-ханӯ́т.	Я выбираю свежие овощи в магазине.
34	s_8fcca8a73bb1.mp3	הוּא שׁוֹמֵר עַל הַכֶּסֶף בַּבַּנְק.	hу шомéр аль hа-кéсеф ба-банк.	Он хранит деньги в банке.
35	s_5899dcabc40d.mp3	דָּוִד עוֹבֵר לְדִירָה חֲדָשָׁה הַחֹדֶשׁ.	давӣ́д овéр ле-дирá хадашá hа-хóдеш.	Давид переезжает в новую квартиру в этом месяце.
36	s_2da887c47d58.mp3	אֲנִי מְדַבֵּר עִם הַמּוֹרֶה עִבְרִית.	анӣ медабéр им hа-морé иврӣ́т.	Я говорю с учителем на иврите.
37	s_e9339fab4124.mp3	הוּא מְבַקֵּשׁ עֶזְרָה מֵהַחֲבֵר.	hу мевакéш эзрá ме-hа-хавéр.	Он просит помощи у друга.
38	s_5d3ab4add6ab.mp3	אֲנִי מְשַׁלֵּם בְּכַרְטִיס אַשְׁרַאי עַכְשָׁיו.	анӣ мешалéм бе-хартӣ́с ашрáй ахшáв.	Я сейчас плачу кредитной картой.
39	s_f9b9e926f51a.mp3	אֲנִי מְחַפֵּשׂ דִּירָה בְּתֵל-אָבִיב.	анӣ мехапéс дирá бе-тель-авӣ́в.	Я ищу квартиру в Тель-Авиве.
40	s_a90f21bf6404.mp3	אֲנִי מְקַבֵּל חֲבִילָה מֵהַדֹּאַר הַיּוֹם.	анӣ мекабéль хавилá ме-hа-дóар hайóм.	Я получаю посылку с почты сегодня.
41	s_30c3fd844b22.mp3	אֲנִי מְבַשֵּׁל מָרָק טָעִים בַּמִּטְבָּח.	анӣ мевашéль марáк таӣ́м ба-митбáх.	Я готовлю вкусный суп на кухне.
42	s_f3b5825f7cbd.mp3	דָּוִד מְנַקֶּה אֶת הַשּׁוּלְחָן בַּסָּלוֹן.	давӣ́д менакé эт hа-шульхáн ба-салóн.	Давид вытирает стол в гостиной.
43	s_0f662b1090cc.mp3	אֲנִי מְצַלֵּם אֶת הַנּוֹף הַיָּפֶה.	анӣ мецалéм эт hа-ноф hа-яфé.	Я фотографирую красивый вид.
44	s_9303873956db.mp3	בֶּעָבָר הוּא עִשֵּׁן סִיגַרְיוֹת הַרְבֵּה.	ба-авáр hу ишéн сигарйóт hарбé.	В прошлом он курил много сигарет.
45	s_cdae8f0dd8e0.mp3	אֲנִי מְחַכֶּה לָאוֹטוֹבּוּס בַּתַּחֲנָה הַמֶּרְכָּזִית.	анӣ мехакé ла-отóбус ба-таханá hа-мерказӣ́т.	Я жду автобус на центральной станции.
46	s_9f8356494e8f.mp3	אֲנִי מְקַוֶּוה לְטוֹב תָּמִיד בַּחַיִּים.	анӣ мекавé ле-тов тамӣ́д ба-хайӣ́м.	Я всегда надеюсь на лучшее в жизни.
47	s_9a74f19b9395.mp3	הוּא מְשַׁנֶּה אֶת הַתּוֹכְנִית שֶׁלּוֹ.	hу мешанé эт hа-тохнӣ́т шелó.	Он меняет свой план.
