Номер,Иврит с огласовками,Русский перевод,Категория,Имя аудиофайла,Рекомендуемый голос
1,"אֲנִי רוֹצֶה מַיִם קָרִים.","Я хочу холодную воду.","Глаголы","s_43a3f467d43b.mp3","Мужской"
2,"אֶתְמוֹל רָצִיתִי קָפֶה.","Вчера я хотел кофе.","Глаголы","s_0f3a3929d039.mp3","Мужской"
3,"הוּא שׁוֹתֶה תֵּה בַּבֹּקֶר.","Он пьёт чай утром.","Глаголы","s_452c0ecb28cd.mp3","Мужской"
4,"אֶתְמוֹל שָׁתִיתִי מִיץ.","Вчера я пил сок.","Глаголы","s_aec04a99dab9.mp3","Мужской"
5,"אֲנִי אוֹכֵל לֶחֶם וּגְבִינָה.","Я ем хлеб и сыр.","Глаголы","s_24be46eef63b.mp3","Мужской"
6,"הוּא אָכַל בַּבַּיִת.","Он ел дома.","Глаголы","s_ecebf5bfeb71.mp3","Мужской"
7,"דָּוִד הוֹלֵךְ לָאוּלְפָּן.","Давид идёт в ульпан.","Глаголы","s_91be08f55a95.mp3","Мужской"
8,"אֶתְמוֹל הָלַכְתִּי לַעֲבוֹדָה.","Вчера я ходил на работу.","Глаголы","s_2059caa017cd.mp3","Мужской"
9,"הִיא כּוֹתֶבֶת מִכְתָּב לְאִמָּא.","Она пишет письмо маме.","Глаголы","s_02c4eb2e0026.mp3","Женский"
10,"כָּתַבְתִּי הוֹדָעָה קְצָרָה.","Я написал короткое сообщение.","Глаголы","s_f4c33af40c1b.mp3","Мужской"
11,"אֲנִי קוֹרֵא סֵפֶר בָּעֶרֶב.","Я читаю книгу вечером.","Глаголы","s_8f08c6e2916e.mp3","Мужской"
12,"הוּא קָרָא אֶת הַחֲדָשׁוֹת.","Он прочитал новости.","Глаголы","s_a8f7f47e399c.mp3","Женский"
13,"אֲנַחְנוּ לוֹמְדִים עִבְרִית בָּאוּלְפָּן.","Мы учим иврит в ульпане.","Глаголы","s_93cd4799f910.mp3","Мужской"
14,"לָמַדְתִּי מִלִּים חֲדָשׁוֹת.","Я учил новые слова.","Глаголы","s_0bf2f9eac5f4.mp3","Мужской"
15,"דָּנִיאֵל גָּר בִּירוּשָׁלַיִם.","Даниэль живёт в Иерусалиме.","Глаголы","s_e3b859706ba3.mp3","Мужской"
16,"גַּרְתִּי בְּחֵיפָה שָׁנָה.","Я жил в Хайфе год.","Глаголы","s_53ca6edb0173.mp3","Мужской"
17,"הִיא קוֹנָה פֵּרוֹת בַּשּׁוּק.","Она покупает фрукты на рынке.","Глаголы","s_1b2678da3913.mp3","Женский"
18,"אֶתְמוֹל קָנִיתִי חָלָב.","Вчера я купил молоко.","Глаголы","s_0a8b1904937a.mp3","Мужской"
19,"הוּא עוֹבֵד בְּמִשְׂרָד.","Он работает в офисе.","Глаголы","s_e1ed38018338.mp3","Мужской"
20,"עָבַדְתִּי כָּל הַיּוֹם.","Я работал весь день.","Глаголы","s_6a867d61f536.mp3","Мужской"
21,"אַתָּה יוֹדֵעַ אֶת הַתְּשׁוּבָה?","Ты знаешь ответ?","Глаголы","s_2a9337de731b.mp3","Мужской"
22,"לֹא יָדַעְתִּי אֶת זֶה.","Я не знал этого.","Глаголы","s_7de587b2f86e.mp3","Женский"
23,"אֲנִי רוֹאֶה אֶת הַיָּם.","Я вижу море.","Глаголы","s_0378a97bbdc2.mp3","Мужской"
24,"רָאִיתִי אֶת הַחֲבֵר בָּרְחוֹב.","Я видел друга на улице.","Глаголы","s_1e5082717c0d.mp3","Женский"
25,"הִיא בָּאָה לַבַּיִת עַכְשָׁיו.","Она приходит домой сейчас.","Глаголы","s_37f0616d2d56.mp3","Женский"
26,"דָּוִד בָּא אֶתְמוֹל לָאוּלְפָּן.","Давид пришёл вчера в ульпан.","Глаголы","s_96d96009a641.mp3","Мужской"
27,"מָה אַתָּה עוֹשֶׂה הַיּוֹם?","Что ты делаешь сегодня?","Глаголы","s_bc9b033910f6.mp3","Мужской"
28,"עָשִׂיתִי שִׁעוּרֵי בַּיִת.","Я сделал домашнее задание.","Глаголы","s_2d896262efd5.mp3","Мужской"
29,"אֲנִי שׁוֹמֵעַ מוּזִיקָה.","Я слушаю музыку.","Глаголы","s_ae79c0e63003.mp3","Мужской"
30,"שָׁמַעְתִּי אֶת הַשִּׁיר הַזֶּה.","Я слышал эту песню.","Глаголы","s_e3159308167e.mp3","Женский"
31,"הוּא פּוֹגֵשׁ אֶת הַחֲבֵר.","Он встречает друга.","Глаголы","s_a83fc20adc95.mp3","Женский"
32,"פָּגַשְׁתִּי אוֹתוֹ בַּבֹּקֶר.","Я встретил его утром.","Глаголы","s_d5bf692e2513.mp3","Мужской"
33,"הוּא פּוֹתֵחַ אֶת הַדֶּלֶת.","Он открывает дверь.","Глаголы","s_2bc00328324f.mp3","Женский"
34,"פָּתַחְתִּי אֶת הַחַלּוֹן.","Я открыл окно.","Глаголы","s_b8557def0a6a.mp3","Женский"
35,"הוּא סוֹגֵר אֶת הַחַלּוֹן.","Он закрывает окно.","Глаголы","s_eac573c83a5f.mp3","Женский"
36,"סָגַרְתִּי אֶת הַדֶּלֶת.","Я закрыл дверь.","Глаголы","s_ff23d5daab5a.mp3","Женский"
37,"אֲנַחְנוּ יוֹשְׁבִים בְּבֵית קָפֶה.","Мы сидим в кафе.","Глаголы","s_7c1fc7f5afad.mp3","Мужской"
38,"יָשַׁבְתִּי עַל הַכִּסֵּא.","Я сидел на стуле.","Глаголы","s_7f7a6a099ef0.mp3","Мужской"
39,"הוּא עוֹמֵד לְיַד הַתַּחֲנָה.","Он стоит возле остановки.","Глаголы","s_cb275df8b774.mp3","Мужской"
40,"עָמַדְתִּי בַּתּוֹר בַּסּוּפֶּר.","Я стоял в очереди в супермаркете.","Глаголы","s_cf946eeba1d3.mp3","Мужской"
41,"אֲנִי לוֹקֵחַ תַּפּוּחַ וּמַיִם.","Я беру яблоко и воду.","Глаголы","s_70c378803429.mp3","Мужской"
42,"לָקַחְתִּי אֶת הַמַּפְתֵּחַ.","Я взял ключ.","Глаголы","s_2dec5903941d.mp3","Женский"
43,"הִיא נוֹתֶנֶת מַתָּנָה לַחֲבֵר.","Она дарит подарок другу.","Глаголы","s_74b534123bc3.mp3","Женский"
44,"נָתַתִּי לוֹ אֶת הַסֵּפֶר.","Я дал ему книгу.","Глаголы","s_31df35d6381c.mp3","Женский"
45,"הַתַּלְמִיד שׁוֹאֵל אֶת הַמּוֹרֶה.","Ученик спрашивает учителя.","Глаголы","s_24ca1b3ac0df.mp3","Женский"
46,"שָׁאַלְתִּי שְׁאֵלָה פְּשׁוּטָה.","Я задал простой вопрос.","Глаголы","s_8092b96adebc.mp3","Мужской"
47,"הַמּוֹרֶה עוֹנֶה לַתַּלְמִיד.","Учитель отвечает ученику.","Глаголы","s_b280408ead77.mp3","Женский"
48,"עָנִיתִי עַל הַשְּׁאֵלָה.","Я ответил на вопрос.","Глаголы","s_cfa2533ab7ff.mp3","Мужской"
49,"הוּא אוֹמֵר שָׁלוֹם וְתוֹדָה.","Он говорит привет и спасибо.","Глаголы","s_b33becaa17e0.mp3","Мужской"
50,"אָמַרְתִּי לוֹ תּוֹדָה רַבָּה.","Я сказал ему большое спасибо.","Глаголы","s_4ec9d05a86f8.mp3","Мужской"
51,"דָּוִד נוֹסֵעַ בָּאוֹטוֹבּוּס לָעֲבוֹדָה.","Давид едет на автобусе на работу.","Глаголы","s_ecd5d3ffc2ed.mp3","Мужской"
52,"אֶתְמוֹל נָסַעְתִּי בָּרַכֶּבֶת לְחֵיפָה.","Вчера я ехал на поезде в Хайфу.","Глаголы","s_54819a52eb53.mp3","Мужской"
53,"אֲנִי חוֹזֵר הַבַּיְתָה בָּעֶרֶב.","Я возвращаюсь домой вечером.","Глаголы","s_c323e00f17a7.mp3","Мужской"
54,"הוּא חָזַר מֵהָעֲבוֹדָה עָיֵף.","Он вернулся с работы уставшим.","Глаголы","s_e6e61210a8a3.mp3","Мужской"
55,"דָּנִי רָץ בַּפַּארְק בַּבֹּקֶר.","Дани бегает в парке утром.","Глаголы","s_0f2500234382.mp3","Мужской"
56,"אֶתְמוֹל רַצְתִּי חֲמִשָּׁה קִילוֹמֶטְרִים.","Вчера я пробежал пять километров.","Глаголы","s_6884f7fbb6eb.mp3","Мужской"
57,"אֲנִי עוֹזֵר לַחֲבֵר בָּאוּלְפָּן.","Я помогаю другу в ульпане.","Глаголы","s_273f59d95e65.mp3","Мужской"
58,"שָׂרָה עָזְרָה לְאִמָּא בַּבַּיִת.","Сара помогла маме по дому.","Глаголы","s_6954734e25cc.mp3","Женский"
59,"אֲנִי זוֹכֵר אֶת כָּל הַמִּלִּים.","Я помню все слова.","Глаголы","s_6a9612aca3ca.mp3","Мужской"
60,"זָכַרְתִּי אֶת מִסְפַּר הַטֶּלֶפוֹן.","Я вспомнил номер телефона.","Глаголы","s_436805cb9962.mp3","Женский"
61,"הוּא שׁוֹכֵחַ אֶת הַמַּפְתֵּחוֹת שׁוּב.","Он снова забывает ключи.","Глаголы","s_08a1a62770e2.mp3","Женский"
62,"שָׁכַחְתִּי אֶת הַתִּיק בַּבַּיִת.","Я забыл сумку дома.","Глаголы","s_6aa104fba7cc.mp3","Женский"
63,"אֲנִי חוֹשֵׁב עַל הָעֲבוֹדָה.","Я думаю о работе.","Глаголы","s_f2f74bfb6248.mp3","Мужской"
64,"אֶתְמוֹל חָשַׁבְתִּי עַל הָרַעְיוֹן.","Вчера я думал об этой идее.","Глаголы","s_e93ce1703afb.mp3","Мужской"
65,"דָּוִד מוֹצֵא אֶת הָרְחוֹב בְּקַלּוּת.","Давид легко находит улицу.","Глаголы","s_b0d5f69360ac.mp3","Женский"
66,"מָצָאתִי עֲבוֹדָה טוֹבָה בָּעִיר.","Я нашёл хорошую работу в городе.","Глаголы","s_53db33b7beda.mp3","Мужской"
67,"אֲנִי אוֹהֵב קָפֶה חָזָק בַּבֹּקֶר.","Я люблю крепкий кофе утром.","Глаголы","s_52b13987ebf3.mp3","Мужской"
