Index	VoiceGender	Category	FileName	SentenceHebrew	SentenceTranscription	SentenceRussian	Group	TargetWord
1	MALE	1-е лицо м.р. (אני רוצה)	s_43a3f467d43b.mp3	אֲנִי רוֹצֶה מַיִם קָרִים.	анӣ роцэ́ мáйим карӣ́м.	Я хочу холодную воду.	Глаголы	לִרְצוֹת
2	FEMALE	Женская форма (адаптация 1/2 л.)	s_43a3f467d43b_f.mp3	אֲנִי רוֹצָה מַיִם קָרִים.	анӣ роца́ мáйим карӣ́м.	Я хочу холодную воду.	Глаголы	לִרְצוֹת
3	FEMALE	Нейтральные / Безличные	s_0f3a3929d039.mp3	אֶתְמוֹל רָצִיתִי קָפֶה.	этмóль рацӣ́ти кáфэ.	Вчера я хотел кофе.	Глаголы	לִרְצוֹת
4	MALE	3-е лицо м.р. (הוא / דוד)	s_452c0ecb28cd.mp3	הוּא שׁוֹתֶה תֵּה בַּבֹּקֶר.	hу шотэ́ тэ ба-бóкер.	Он пьёт чай утром.	Глаголы	לִשְׁתּוֹת
5	FEMALE	Нейтральные / Безличные	s_aec04a99dab9.mp3	אֶתְמוֹל שָׁתִיתִי מִיץ.	этмóль шатӣ́ти миц.	Вчера я пил сок.	Глаголы	לִשְׁתּוֹת
6	MALE	1-е лицо м.р. (אני רוצה)	s_24be46eef63b.mp3	אֲנִי אוֹכֵל לֶחֶם וּגְבִינָה.	анӣ охéль лéхем у-гвинá.	Я ем хлеб и сыр.	Глаголы	לֶאֱכוֹל
7	FEMALE	Женская форма (адаптация 1/2 л.)	s_24be46eef63b_f.mp3	אֲנִי אוֹכֶלֶת לֶחֶם וּגְבִינָה.	анӣ охе́лет лéхем у-гвинá.	Я ем хлеб и сыр.	Глаголы	לֶאֱכוֹל
8	MALE	3-е лицо м.р. (הוא / דוד)	s_ecebf5bfeb71.mp3	הוּא אָכַל בַּבַּיִת.	hу ахáль ба-бáйит.	Он ел дома.	Глаголы	לֶאֱכוֹל
9	MALE	3-е лицо м.р. (הוא / דוד)	s_91be08f55a95.mp3	דָּוִד הוֹלֵךְ לָאוּלְפָּן.	давӣ́д hолéх ла-ульпáн.	Давид идёт в ульпан.	Глаголы	לָלֶכֶת
10	FEMALE	Нейтральные / Безличные	s_2059caa017cd.mp3	אֶתְמוֹל הָלַכְתִּי לַעֲבוֹדָה.	этмóль hалáхти ла-аводá.	Вчера я ходил на работу.	Глаголы	לָלֶכֶת
11	FEMALE	3-е лицо ж.р. (היא / שרה)	s_02c4eb2e0026.mp3	הִיא כּוֹתֶבֶת מִכְתָּב לְאִמָּא.	hи котéвет михтáв лэ-и́ма.	Она пишет письмо маме.	Глаголы	לִכְתּוֹב
12	FEMALE	Нейтральные / Безличные	s_f4c33af40c1b.mp3	כָּתַבְתִּי הוֹדָעָה קְצָרָה.	катáвти hодаá кцарá.	Я написал короткое сообщение.	Глаголы	לִכְתּוֹב
13	MALE	1-е лицо м.р. (אני רוצה)	s_8f08c6e2916e.mp3	אֲנִי קוֹרֵא סֵפֶר בָּעֶרֶב.	анӣ корé сéфер ба-э́рев.	Я читаю книгу вечером.	Глаголы	לִקְרוֹא
14	FEMALE	Женская форма (адаптация 1/2 л.)	s_8f08c6e2916e_f.mp3	אֲנִי קוֹרֵאת סֵפֶר בָּעֶרֶב.	анӣ ко́рет сéфер ба-э́рев.	Я читаю книгу вечером.	Глаголы	לִקְרוֹא
15	MALE	3-е лицо м.р. (הוא / דוד)	s_a8f7f47e399c.mp3	הוּא קָרָא אֶת הַחֲדָשׁוֹת.	hу карá эт hа-хадашóт.	Он прочитал новости.	Глаголы	לִקְרוֹא
16	FEMALE	Нейтральные / Безличные	s_93cd4799f910.mp3	אֲנַחְנוּ לוֹמְדִים עִבְרִית בָּאוּלְפָּן.	анáхну ломдӣ́м иврӣ́т ба-ульпáн.	Мы учим иврит в ульпане.	Глаголы	לִלְמוֹד
17	FEMALE	Нейтральные / Безличные	s_0bf2f9eac5f4.mp3	לָמַדְתִּי מִלִּים חֲדָשׁוֹת.	ламáдти милӣ́м хадашóт.	Я учил новые слова.	Глаголы	לִלְמוֹד
18	FEMALE	Нейтральные / Безличные	s_e3b859706ba3.mp3	דָּנִיאֵל גָּר בִּירוּשָׁלַיִם.	даниэ́ль гар би-рушалáйим.	Даниэль живёт в Иерусалиме.	Глаголы	לָגוּר
19	FEMALE	Нейтральные / Безличные	s_53ca6edb0173.mp3	גַּרְתִּי בְּחֵיפָה שָׁנָה.	гáрти бэ-хэйфá шанá.	Я жил в Хайфе год.	Глаголы	לָגוּר
20	FEMALE	3-е лицо ж.р. (היא / שרה)	s_1b2678da3913.mp3	הִיא קוֹנָה פֵּרוֹת בַּשּׁוּק.	hи конá пэрóт ба-шук.	Она покупает фрукты на рынке.	Глаголы	לִקְנוֹת
21	FEMALE	Нейтральные / Безличные	s_0a8b1904937a.mp3	אֶתְמוֹל קָנִיתִי חָלָב.	этмóль канӣ́ти халáв.	Вчера я купил молоко.	Глаголы	לִקְנוֹת
22	MALE	3-е лицо м.р. (הוא / דוד)	s_e1ed38018338.mp3	הוּא עוֹבֵד בְּמִשְׂרָד.	hу овéд бэ-мисрáд.	Он работает в офисе.	Глаголы	לַעֲבוֹד
23	FEMALE	Нейтральные / Безличные	s_6a867d61f536.mp3	עָבַדְתִּי כָּל הַיּוֹם.	авáдти коль hа-йом.	Я работал весь день.	Глаголы	לַעֲבוֹד
24	MALE	2-е лицо м.р. (אתה יודע)	s_2a9337de731b.mp3	אַתָּה יוֹדֵעַ אֶת הַתְּשׁוּבָה?	атá йодéа эт hа-тшувá?	Ты знаешь ответ?	Глаголы	לָדַעַת
25	FEMALE	Женская форма (адаптация 1/2 л.)	s_2a9337de731b_f.mp3	אַתְּ יוֹדַעַת אֶת הַתְּשׁוּבָה?	ат йода́ат эт hа-тшувá?	Ты знаешь ответ?	Глаголы	לָדַעַת
26	FEMALE	Нейтральные / Безличные	s_7de587b2f86e.mp3	לֹא יָדַעְתִּי אֶת זֶה.	ло ядáти эт зэ.	Я не знал этого.	Глаголы	לָדַעַת
27	MALE	1-е лицо м.р. (אני רוצה)	s_0378a97bbdc2.mp3	אֲנִי רוֹאֶה אֶת הַיָּם.	анӣ роэ́ эт hа-ям.	Я вижу море.	Глаголы	לִרְאוֹת
28	FEMALE	Женская форма (адаптация 1/2 л.)	s_0378a97bbdc2_f.mp3	אֲנִי רוֹאָה אֶת הַיָּם.	анӣ роа́ эт hа-ям.	Я вижу море.	Глаголы	לִרְאוֹת
29	FEMALE	Нейтральные / Безличные	s_1e5082717c0d.mp3	רָאִיתִי אֶת הַחֲבֵר בָּרְחוֹב.	раӣ́ти эт hа-хавéр ба-рехóв.	Я видел друга на улице.	Глаголы	לִרְאוֹת
30	FEMALE	3-е лицо ж.р. (היא / שרה)	s_37f0616d2d56.mp3	הִיא בָּאָה לַבַּיִת עַכְשָׁיו.	hи бáа ла-бáйит ахшáв.	Она приходит домой сейчас.	Глаголы	לָבוֹא
