Index	FileName	SentenceHebrew	Transcription	Russian
1	s_43a3f467d43b_f.mp3	אֲנִי רוֹצָה מַיִם קָרִים.	анӣ роца́ мáйим карӣ́м.	Я хочу холодную воду.
2	s_0f3a3929d039.mp3	אֶתְמוֹל רָצִיתִי קָפֶה.	этмóль рацӣ́ти кáфэ.	Вчера я хотел кофе.
3	s_aec04a99dab9.mp3	אֶתְמוֹל שָׁתִיתִי מִיץ.	этмóль шатӣ́ти миц.	Вчера я пил сок.
4	s_24be46eef63b_f.mp3	אֲנִי אוֹכֶלֶת לֶחֶם וּגְבִינָה.	анӣ охе́лет лéхем у-гвинá.	Я ем хлеб и сыр.
5	s_2059caa017cd.mp3	אֶתְמוֹל הָלַכְתִּי לַעֲבוֹדָה.	этмóль hалáхти ла-аводá.	Вчера я ходил на работу.
6	s_02c4eb2e0026.mp3	הִיא כּוֹתֶבֶת מִכְתָּב לְאִמָּא.	hи котéвет михтáв лэ-и́ма.	Она пишет письмо маме.
7	s_f4c33af40c1b.mp3	כָּתַבְתִּי הוֹדָעָה קְצָרָה.	катáвти hодаá кцарá.	Я написал короткое сообщение.
8	s_8f08c6e2916e_f.mp3	אֲנִי קוֹרֵאת סֵפֶר בָּעֶרֶב.	анӣ ко́рет сéфер ба-э́рев.	Я читаю книгу вечером.
9	s_93cd4799f910.mp3	אֲנַחְנוּ לוֹמְדִים עִבְרִית בָּאוּלְפָּן.	анáхну ломдӣ́м иврӣ́т ба-ульпáн.	Мы учим иврит в ульпане.
10	s_0bf2f9eac5f4.mp3	לָמַדְתִּי מִלִּים חֲדָשׁוֹת.	ламáдти милӣ́м хадашóт.	Я учил новые слова.
11	s_e3b859706ba3.mp3	דָּנִיאֵל גָּר בִּירוּשָׁלַיִם.	даниэ́ль гар би-рушалáйим.	Даниэль живёт в Иерусалиме.
12	s_53ca6edb0173.mp3	גַּרְתִּי בְּחֵיפָה שָׁנָה.	гáрти бэ-хэйфá шанá.	Я жил в Хайфе год.
13	s_1b2678da3913.mp3	הִיא קוֹנָה פֵּרוֹת בַּשּׁוּק.	hи конá пэрóт ба-шук.	Она покупает фрукты на рынке.
14	s_0a8b1904937a.mp3	אֶתְמוֹל קָנִיתִי חָלָב.	этмóль канӣ́ти халáв.	Вчера я купил молоко.
15	s_6a867d61f536.mp3	עָבַדְתִּי כָּל הַיּוֹם.	авáдти коль hа-йом.	Я работал весь день.
16	s_2a9337de731b_f.mp3	אַתְּ יוֹדַעַת אֶת הַתְּשׁוּבָה?	ат йода́ат эт hа-тшувá?	Ты знаешь ответ?
17	s_7de587b2f86e.mp3	לֹא יָדַעְתִּי אֶת זֶה.	ло ядáти эт зэ.	Я не знал этого.
18	s_0378a97bbdc2_f.mp3	אֲנִי רוֹאָה אֶת הַיָּם.	анӣ роа́ эт hа-ям.	Я вижу море.
19	s_1e5082717c0d.mp3	רָאִיתִי אֶת הַחֲבֵר בָּרְחוֹב.	раӣ́ти эт hа-хавéр ба-рехóв.	Я видел друга на улице.
20	s_37f0616d2d56.mp3	הִיא בָּאָה לַבַּיִת עַכְשָׁיו.	hи бáа ла-бáйит ахшáв.	Она приходит домой сейчас.
21	s_bc9b033910f6_f.mp3	מָה אַתְּ עוֹשָׂה הַיּוֹם?	ма ат оса́ hа-йом?	Что ты делаешь сегодня?
22	s_2d896262efd5.mp3	עָשִׂיתִי שִׁעוּרֵי בַּיִת.	асӣ́ти шиурэ́й бáйит.	Я сделал домашнее задание.
23	s_ae79c0e63003_f.mp3	אֲנִי שׁוֹמַעַת מוּזִיקָה.	анӣ шома́ат мӯ́зика.	Я слушаю музыку.
24	s_e3159308167e.mp3	שָׁמַעְתִּי אֶת הַשִּׁיר הַזֶּה.	шамáти эт hа-шир hа-зэ.	Я слышал эту песню.
25	s_d5bf692e2513.mp3	פָּגַשְׁתִּי אוֹתוֹ בַּבֹּקֶר.	пагáшти отó ба-бóкер.	Я встретил его утром.
26	s_b8557def0a6a.mp3	פָּתַחְתִּי אֶת הַחַלּוֹן.	патáхти эт hа-халóн.	Я открыл окно.
27	s_ff23d5daab5a.mp3	סָגַרְתִּי אֶת הַדֶּלֶת.	сагáрти эт hа-дéлет.	Я закрыл дверь.
28	s_7c1fc7f5afad.mp3	אֲנַחְנוּ יוֹשְׁבִים בְּבֵית קָפֶה.	анáхну йошвӣ́м бэ-вэ́йт кáфэ.	Мы сидим в кафе.
29	s_7f7a6a099ef0.mp3	יָשַׁבְתִּי עַל הַכִּסֵּא.	яшáвти аль hа-кисэ́.	Я сидел на стуле.
30	s_cf946eeba1d3.mp3	עָמַדְתִּי בַּתּוֹר בַּסּוּפֶּר.	амáдти ба-тор ба-сӯ́пер.	Я стоял в очереди в супермаркете.
31	s_70c378803429_f.mp3	אֲנִי לוֹקַחַת תַּפּוּחַ וּמַיִם.	анӣ лока́хат тапӯ́ах у-мáйим.	Я беру яблоко и воду.
32	s_2dec5903941d.mp3	לָקַחְתִּי אֶת הַמַּפְתֵּחַ.	лакáхти эт hа-мафтéах.	Я взял ключ.
33	s_74b534123bc3.mp3	הִיא נוֹתֶנֶת מַתָּנָה לַחֲבֵר.	hи нотéнет матанá ла-хавéр.	Она дарит подарок другу.
34	s_31df35d6381c.mp3	נָתַתִּי לוֹ אֶת הַסֵּפֶר.	натáти ло эт hа-сéфер.	Я дал ему книгу.
35	s_24ca1b3ac0df.mp3	הַתַּלְמִיד שׁוֹאֵל אֶת הַמּוֹרֶה.	hа-тальмӣ́д шоэ́ль эт hа-морé.	Ученик спрашивает учителя.
36	s_8092b96adebc.mp3	שָׁאַלְתִּי שְׁאֵלָה פְּשׁוּטָה.	шаáльти шеэлá пшутá.	Я задал простой вопрос.
37	s_b280408ead77.mp3	הַמּוֹרֶה עוֹנֶה לַתַּלְמִיד.	hа-морé онé ла-тальмӣ́д.	Учитель отвечает ученику.
38	s_cfa2533ab7ff.mp3	עָנִיתִי עַל הַשְּׁאֵלָה.	анӣ́ти аль hа-шеэлá.	Я ответил на вопрос.
39	s_4ec9d05a86f8.mp3	אָמַרְתִּי לוֹ תּוֹדָה רַבָּה.	амáрти ло тодá рабá.	Я сказал ему большое спасибо.
40	s_54819a52eb53.mp3	אֶתְמוֹל נָסַעְתִּי בָּרַכֶּבֶת לְחֵיפָה.	этмóль насáъти ба-ракéвет ле-хейфá.	Вчера я ехал на поезде в Хайфу.
41	s_c323e00f17a7_f.mp3	אֲנִי חוֹזֶרֶת הַבַּיְתָה בָּעֶרֶב.	анӣ хозе́рет hабáйта ба-э́рев.	Я возвращаюсь домой вечером.
42	s_0f2500234382.mp3	דָּנִי רָץ בַּפַּארְק בַּבֹּקֶר.	дáни рац ба-парк ба-бóкер.	Дани бегает в парке утром.
43	s_6884f7fbb6eb.mp3	אֶתְמוֹל רַצְתִּי חֲמִשָּׁה קִילוֹמֶטְרִים.	этмóль рáцти хамишá киломéтрим.	Вчера я пробежал пять километров.
44	s_273f59d95e65_f.mp3	אֲנִי עוֹזֶרֶת לַחֲבֵר בָּאוּלְפָּן.	анӣ озе́рет ла-хавéр ба-ульпáн.	Я помогаю другу в ульпане.
45	s_6954734e25cc.mp3	שָׂרָה עָזְרָה לְאִמָּא בַּבַּיִת.	сарá азрá ле-и́ма ба-бáйит.	Сара помогла маме по дому.
46	s_6a9612aca3ca_f.mp3	אֲנִי זוֹכֶרֶת אֶת כָּל הַמִּלִּים.	анӣ зохе́рет эт коль hа-милӣ́м.	Я помню все слова.
47	s_436805cb9962.mp3	זָכַרְתִּי אֶת מִסְפַּר הַטֶּלֶפוֹן.	захáрти эт миспáр hа-тéлефон.	Я вспомнил номер телефона.
48	s_6aa104fba7cc.mp3	שָׁכַחְתִּי אֶת הַתִּיק בַּבַּיִת.	шахáхти эт hа-тик ба-бáйит.	Я забыл сумку дома.
49	s_f2f74bfb6248_f.mp3	אֲנִי חוֹשֶׁבֶת עַל הָעֲבוֹדָה.	анӣ хоше́вет аль hа-аводá.	Я думаю о работе.
50	s_e93ce1703afb.mp3	אֶתְמוֹל חָשַׁבְתִּי עַל הָרַעְיוֹן.	этмóль хашáвти аль hа-раайóн.	Вчера я думал об этой идее.
51	s_53db33b7beda.mp3	מָצָאתִי עֲבוֹדָה טוֹבָה בָּעִיר.	мацáти аводá товá ба-ӣ́р.	Я нашёл хорошую работу в городе.
52	s_52b13987ebf3_f.mp3	אֲנִי אוֹהֶבֶת קָפֶה חָזָק בַּבֹּקֶר.	анӣ оhе́вет кáфэ хазáк ба-бóкер.	Я люблю крепкий кофе утром.
53	s_e12155f574e3.mp3	אָהַבְתִּי אֶת הַסֶּפֶר הַזֶּה מְאֹד.	аháвти эт hа-сéфер hа-зэ меóд.	Мне очень понравилась эта книга.
54	s_369b6ff9c1d5.mp3	שַׂמְתִּי אֶת הַכֶּסֶף בַּתִּיק.	сáмти эт hа-кéсеф ба-тик.	Я положил деньги в сумку.
55	s_00aadc6c77fe_f.mp3	אֲנִי קָמָה מוּקְדָּם בַּבֹּקֶר תָּמִיד.	анӣ кама́ мукдáм ба-бóкер тамӣ́д.	Я всегда встаю рано утром.
56	s_f0e41d86766c.mp3	הַיּוֹם קַמְתִּי בְּשָׁעָה שֶׁבַע.	hайóм кáмти бе-шаá шéва.	Сегодня я встал в семь часов.
57	s_78ea95389cf3.mp3	אֶתְמוֹל יָשַׁנְתִּי שְׁמוֹנֶה שָׁעוֹת טוֹבוֹת.	этмóль яшáнти шмóнэ шаóт товóт.	Вчера я спал восемь хороших часов.
58	s_33f5fe747e25.mp3	שַׂבָּא נָח בַּבַּיִת בַּצָּהֳרַיִם.	сáба нах ба-бáйит ба-цоhорáим.	Дедушка отдыхает дома днём.
59	s_670ec3a14b58.mp3	בַּשַּׁבָּת נַחְנוּ כָּל הַיּוֹם.	ба-шабáт нáхну коль hа-йóм.	В субботу мы отдыхали весь день.
60	s_54c6cdd34633.mp3	אֲנַחְנוּ טָסִים מָחָר לְאֵילַת.	анáхну тасӣ́м махáр ле-эйлáт.	Завтра мы летим в Эйлат.
61	s_da99020d6517.mp3	בַּשָּׁנָה שֶׁעָבְרָה טַסְתִּי לְפָרִיז.	ба-шанá ше-аврá тáсти ле-парӣ́з.	В прошлом году я летал в Париж.
62	s_671d85b2c927.mp3	הַסּוֹחֵר מוֹכֵר פֵּרוֹת בַּשּׁוּק.	hа-сохéр мохéр пейрóт ба-шук.	Торговец продаёт фрукты на рынке.
63	s_7c50bda65931_f.mp3	אֲנִי בּוֹחֶרֶת יְרָקוֹת טְרִיִּים בַּחֲנוּת.	анӣ бохе́рет йеракот терийӣ́м ба-ханӯ́т.	Я выбираю свежие овощи в магазине.
64	s_4d38866ab8c7.mp3	בָּחַרְתִּי מָנָה טְעִימָה בַּמִּסְעָדָה.	бахáрти манá теимá ба-мисадá.	Я выбрал вкусное блюдо в ресторане.
65	s_677cb82bf6db.mp3	הָרוֹפֵא בּוֹדֵק אֶת הַחוֹלֶה הַיּוֹם.	hа-рофé бодéк эт hа-холé hайóм.	Врач осматривает больного сегодня.
66	s_65e42516107a.mp3	בָּדַקְתִּי אֶת הַחֶשְׁבּוֹן בַּקְּפֵדָה.	бадáкти эт hа-хешбóн би-кфейдá.	Я тщательно проверил счёт.
67	s_41e2a883a070.mp3	שָׁמַרְתִּי לְךָ מָקוֹם טוֹב.	шамáрти лехá макóм тов.	Я занял для тебя хорошее место.
68	s_a739589dbb62.mp3	אֶתְמוֹל עָבַרְנוּ אֶת הַמִּבְחָן בְּהַצְלָחָה.	этмóль авáрну эт hа-мивхáн бе-hацлахá.	Вчера мы успешно сдали экзамен.
69	s_c9a16f2df578.mp3	הָאוֹטוֹבּוּס עוֹצֵר בַּתַּחֲנָה הַקְּרוֹבָה.	hа-отóбус оцéр ба-таханá hа-кровá.	Автобус останавливается на ближайшей остановке.
70	s_d5bea267778d.mp3	הַנַּהָג עָצַר בָּאוֹר הָאָדֹם.	hа-наháг ацáр ба-ор hа-адóм.	Водитель остановился на красный свет.
71	s_2da887c47d58_f.mp3	אֲנִי מְדַבֶּרֶת עִם הַמּוֹרֶה עִבְרִית.	анӣ медабе́рет им hа-морé иврӣ́т.	Я говорю с учителем на иврите.
72	s_d0b96a868f44.mp3	אֶתְמוֹל דִּבַּרְתִּי עִם דָּוִד בַּטֶּלֶפוֹן.	этмóль дибáрти им давӣ́д ба-тéлефон.	Вчера я говорил с Давидом по телефону.
73	s_0e62d863c7c3.mp3	בִּקַּשְׁתִּי חֶשְׁבּוֹן בַּמִּסְעָדָה בְּנִימוּס.	бикáшти хешбóн ба-мисадá бе-нимӯ́с.	Я вежливо попросил счёт в ресторане.
74	s_32717f4452f3.mp3	שִׁילַּמְתִּי עַל הַקָּפֶה בַּבֹּקֶר.	шилáмти аль hа-кáфэ ба-бóкер.	Утром я заплатил за кофе.
